Designator,Mid X,Mid Y,Layer,Rotation
C3,237.0,95.5,Top,0.0
U3,205.0,99.0,Top,0.0
Q1,243.5,100.5,Top,0.0
R2,236.9125,99.5,Top,180.0
U2,234.0625,97.55,Top,0.0
C1,67.0,127.5,Top,90.0
R3,240.0,97.5875,Top,90.0
J6,111.5,121.0,Top,180.0
U_TMC_Y1,40.5,112.38,Top,0.0
C7,226.49,92.45,Top,90.0
J1,105.0,131.5,Top,180.0
R8,245.9125,91.5,Top,180.0
J4,111.5,104.0,Top,180.0
J9,209.88,134.5,Top,90.0
R6,245.0,94.5,Top,-90.0
C2,75.0,127.5,Top,90.0
C4,234.55,105.5,Top,0.0
U1,47.2,53.475,Top,0.0
J3,20.0,80.0,Top,90.0
J5,111.5,112.5,Top,180.0
SW1,76.54,134.0,Top,-90.0
J8,20.0,64.5,Top,90.0
U_TMC_X1,18.3,113.3,Top,0.0
R5,229.5,101.5,Top,-90.0
R4,240.0,101.9125,Top,90.0
U4,218.5,99.0,Top,0.0
R7,243.0,92.0,Top,-90.0
J10,99.44,41.46,Top,-90.0
R1,229.5,97.5875,Top,-90.0
J2,20.0,92.5,Top,90.0
C8,229.5,92.45,Top,90.0
C5,201.5,92.0,Top,180.0
F1,97.5,134.0,Top,180.0
J7,111.0,88.0,Top,-90.0
U5,234.0625,102.0,Top,0.0
Q2,234.45,91.0625,Top,90.0
C6,205.45,92.0,Top,0.0
